Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

13,46	0,57	13,46
13,49	0,58	13,49
13,54	0,58	13,54
13,57	0,58	13,57
13,61	0,58	13,61
13,63	0,59	13,63
13,67	0,59	13,67
13,70	0,59	13,70
13,75	0,59	13,75
13,78	0,59	13,78
13,82	0,59	13,82
13,85	0,60	13,85
13,88	0,60	13,88
13,93	0,60	13,93
13,97	0,60	13,97
14,00	0,60	14,00
14,03	0,61	14,03
14,06	0,61	14,06
14,11	0,61	14,11
14,15	0,61	14,15
14,18	0,61	14,18
14,23	0,62	14,23
14,27	0,62	14,27
14,30	0,62	14,30
14,33	0,62	14,33
14,36	0,62	14,36
14,41	0,63	14,41
14,45	0,63	14,45
14,48	0,63	14,48
14,53	0,63	14,53
14,56	0,64	14,56
14,60	0,64	14,60
14,63	0,64	14,63
14,68	0,64	14,68
14,73	0,65	14,73
14,76	0,65	14,76
14,80	0,66	14,80
14,83	0,66	14,83
14,88	0,66	14,88
14,92	0,66	14,92
14,97	0,67	14,97
15,00	0,67	15,00
15,03	0,67	15,03
15,09	0,67	15,09
15,12	0,68	15,12
15,16	0,68	15,16
15,19	0,68	15,19
15,24	0,69	15,24
15,27	0,69	15,27
15,31	0,69	15,31
15,36	0,70	15,36
15,40	0,70	15,40
15,43	0,71	15,43
15,48	0,71	15,48
15,52	0,71	15,52
15,55	0,72	15,55
15,60	0,72	15,60
15,64	0,73	15,64
15,69	0,73	15,69
15,73	0,73	15,73
15,78	0,74	15,78
15,81	0,74	15,81
15,85	0,75	15,85
15,90	0,75	15,90
15,94	0,75	15,94
15,97	0,76	15,97
16,03	0,76	16,03
16,08	0,76	16,08
16,11	0,77	16,11
16,17	0,77	16,17
16,20	0,77	16,20
16,24	0,78	16,24
16,29	0,78	16,29
16,33	0,78	16,33
16,38	0,79	16,38
16,42	0,79	16,42
16,45	0,79	16,45
16,50	0,79	16,50
16,55	0,80	16,55
16,59	0,80	16,59
16,65	0,80	16,65
16,68	0,80	16,68
16,71	0,80	16,71
16,73	0,80	16,73
