Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

15,70	1,58	15,70
15,73	1,57	15,73
15,76	1,58	15,76
15,79	1,58	15,79
15,82	1,57	15,82
15,85	1,57	15,85
15,88	1,57	15,88
15,91	1,57	15,91
15,94	1,57	15,94
15,96	1,57	15,96
16,00	1,57	16,00
16,03	1,57	16,03
16,05	1,58	16,05
16,09	1,58	16,09
16,12	1,60	16,12
16,15	1,58	16,15
16,18	1,58	16,18
16,20	1,61	16,20
16,24	1,61	16,24
16,26	1,61	16,26
16,29	1,63	16,29
16,32	1,63	16,32
16,35	1,63	16,35
16,38	1,63	16,38
16,41	1,64	16,41
16,44	1,66	16,44
16,45	1,66	16,45
16,50	1,67	16,50
16,52	1,67	16,52
16,55	1,67	16,55
16,58	1,69	16,58
16,61	1,70	16,61
16,62	1,70	16,62
16,65	1,70	16,65
16,68	1,72	16,68
16,71	1,75	16,71
16,76	1,75	16,76
16,79	1,75	16,79
16,80	1,75	16,80
16,83	1,78	16,83
16,86	1,79	16,86
16,89	1,79	16,89
16,91	1,81	16,91
16,95	1,81	16,95
16,97	1,84	16,97
16,98	1,84	16,98
17,01	1,85	17,01
17,04	1,87	17,04
17,07	1,88	17,07
17,10	1,88	17,10
17,13	1,90	17,13
17,15	1,91	17,15
17,18	1,94	17,18
17,21	1,94	17,21
17,24	1,94	17,24
17,25	1,97	17,25
17,30	1,97	17,30
17,33	1,99	17,33
17,34	2,00	17,34
17,37	2,03	17,37
17,40	2,03	17,40
17,42	2,05	17,42
17,45	2,06	17,45
17,48	2,06	17,48
17,51	2,09	17,51
17,52	2,11	17,52
17,55	2,12	17,55
17,58	2,14	17,58
17,60	2,14	17,60
17,63	2,17	17,63
17,66	2,18	17,66
17,67	2,20	17,67
17,70	2,21	17,70
17,73	2,21	17,73
17,76	2,24	17,76
17,76	2,26	17,76
17,79	2,27	17,79
17,82	2,29	17,82
17,84	2,30	17,84
17,87	2,32	17,87
17,91	2,33	17,91
17,93	2,33	17,93
17,96	2,38	17,96
17,97	2,38	17,97
18,00	2,39	18,00
18,03	2,42	18,03
18,06	2,42	18,06
